I	ένα
MDCCLXXXVII	χίλια εφτακόσια ογδόντα εφτά
MDCCLXXXVIII	χίλια εφτακόσια ογδόντα οχτώ
MDCCLXXXIX	χίλια εφτακόσια ογδόντα εννιά
MDCCXC	χίλια εφτακόσια ενενήντα
MDCCXCI	χίλια εφτακόσια ενενήντα ένα
MDCCXCII	χίλια εφτακόσια ενενήντα δύο
MDCCXCIII	χίλια εφτακόσια ενενήντα τρία
MDCCXCIV	χίλια εφτακόσια ενενήντα τέσσερα
MDCCXCV	χίλια εφτακόσια ενενήντα πέντε
MDCCXCVI	χίλια εφτακόσια ενενήντα έξι
MDCCXCVII	χίλια εφτακόσια ενενήντα εφτά
MDCCXCVIII	χίλια εφτακόσια ενενήντα οχτώ
MDCCXCIX	χίλια εφτακόσια ενενήντα εννιά
MDCCC	χίλια οχτακόσια
MDCCCI	χίλια οχτακόσια ένα
MDCCCII	χίλια οχτακόσια δύο
MDCCCIII	χίλια οχτακόσια τρία
MDCCCIV	χίλια οχτακόσια τέσσερα
MDCCCV	χίλια οχτακόσια πέντε
MDCCCVI	χίλια οχτακόσια έξι
MDCCCVII	χίλια οχτακόσια εφτά
MDCCCVIII	χίλια οχτακόσια οχτώ
MDCCCIX	χίλια οχτακόσια εννιά
MDCCCX	χίλια οχτακόσια δέκα
MDCCCXI	χίλια οχτακόσια έντεκα
MDCCCXII	χίλια οχτακόσια δώδεκα
MDCCCXIII	χίλια οχτακόσια δεκατρία
MDCCCXIV	χίλια οχτακόσια δεκατέσσερα
MDCCCXV	χίλια οχτακόσια δεκαπέντε
MDCCCXVI	χίλια οχτακόσια δεκαέξι
MDCCCXVII	χίλια οχτακόσια δεκαεφτά
MDCCCXVIII	χίλια οχτακόσια δεκαοχτώ
MDCCCXIX	χίλια οχτακόσια δεκαεννιά
MDCCCXX	χίλια οχτακόσια είκοσι
MDCCCXXI	χίλια οχτακόσια είκοσι ένα
MDCCCXXII	χίλια οχτακόσια είκοσι δύο
MDCCCXXIII	χίλια οχτακόσια είκοσι τρία
MDCCCXXIV	χίλια οχτακόσια είκοσι τέσσερα
MDCCCXXV	χίλια οχτακόσια είκοσι πέντε
MDCCCXXVI	χίλια οχτακόσια είκοσι έξι
MDCCCXXVII	χίλια οχτακόσια είκοσι εφτά
MDCCCXXVIII	χίλια οχτακόσια είκοσι οχτώ
MDCCCXXIX	χίλια οχτακόσια είκοσι εννιά
MDCCCXXX	χίλια οχτακόσια τριάντα
MDCCCXXXI	χίλια οχτακόσια τριάντα ένα
MDCCCXXXII	χίλια οχτακόσια τριάντα δύο
MDCCCXXXIII	χίλια οχτακόσια τριάντα τρία
MDCCCXXXIV	χίλια οχτακόσια τριάντα τέσσερα
MDCCCXXXV	χίλια οχτακόσια τριάντα πέντε
MDCCCXXXVI	χίλια οχτακόσια τριάντα έξι
MDCCCXXXVII	χίλια οχτακόσια τριάντα εφτά
MDCCCXXXVIII	χίλια οχτακόσια τριάντα οχτώ
MDCCCXXXIX	χίλια οχτακόσια τριάντα εννιά
MDCCCXL	χίλια οχτακόσια σαράντα
MDCCCXLI	χίλια οχτακόσια σαράντα ένα
MDCCCXLII	χίλια οχτακόσια σαράντα δύο
MDCCCXLIII	χίλια οχτακόσια σαράντα τρία
MDCCCXLIV	χίλια οχτακόσια σαράντα τέσσερα
MDCCCXLV	χίλια οχτακόσια σαράντα πέντε
MDCCCXLVI	χίλια οχτακόσια σαράντα έξι
MDCCCXLVII	χίλια οχτακόσια σαράντα εφτά
MDCCCXLVIII	χίλια οχτακόσια σαράντα οχτώ
MDCCCXLIX	χίλια οχτακόσια σαράντα εννιά
MDCCCL	χίλια οχτακόσια πενήντα
MDCCCLI	χίλια οχτακόσια πενήντα ένα
MDCCCLII	χίλια οχτακόσια πενήντα δύο
MDCCCLIII	χίλια οχτακόσια πενήντα τρία
MDCCCLIV	χίλια οχτακόσια πενήντα τέσσερα
MDCCCLV	χίλια οχτακόσια πενήντα πέντε
MDCCCLVI	χίλια οχτακόσια πενήντα έξι
MDCCCLVII	χίλια οχτακόσια πενήντα εφτά
MDCCCLVIII	χίλια οχτακόσια πενήντα οχτώ
MDCCCLIX	χίλια οχτακόσια πενήντα εννιά
MDCCCLX	χίλια οχτακόσια εξήντα
MDCCCLXI	χίλια οχτακόσια εξήντα ένα
MDCCCLXII	χίλια οχτακόσια εξήντα δύο
MDCCCLXIII	χίλια οχτακόσια εξήντα τρία
MDCCCLXIV	χίλια οχτακόσια εξήντα τέσσερα
MDCCCLXV	χίλια οχτακόσια εξήντα πέντε
MDCCCLXVI	χίλια οχτακόσια εξήντα έξι
MDCCCLXVII	χίλια οχτακόσια εξήντα εφτά
MDCCCLXVIII	χίλια οχτακόσια εξήντα οχτώ
MDCCCLXIX	χίλια οχτακόσια εξήντα εννιά
MDCCCLXX	χίλια οχτακόσια εβδομήντα
MDCCCLXXI	χίλια οχτακόσια εβδομήντα ένα
MDCCCLXXII	χίλια οχτακόσια εβδομήντα δύο
MDCCCLXXIII	χίλια οχτακόσια εβδομήντα τρία
MDCCCLXXIV	χίλια οχτακόσια εβδομήντα τέσσερα
MDCCCLXXV	χίλια οχτακόσια εβδομήντα πέντε
MDCCCLXXVI	χίλια οχτακόσια εβδομήντα έξι
MDCCCLXXVII	χίλια οχτακόσια εβδομήντα εφτά
MDCCCLXXVIII	χίλια οχτακόσια εβδομήντα οχτώ
MDCCCLXXIX	χίλια οχτακόσια εβδομήντα εννιά
MDCCCLXXX	χίλια οχτακόσια ογδόντα
MDCCCLXXXI	χίλια οχτακόσια ογδόντα ένα
MDCCCLXXXII	χίλια οχτακόσια ογδόντα δύο
MDCCCLXXXIII	χίλια οχτακόσια ογδόντα τρία
MDCCCLXXXIV	χίλια οχτακόσια ογδόντα τέσσερα
MDCCCLXXXV	χίλια οχτακόσια ογδόντα πέντε
MDCCCLXXXVI	χίλια οχτακόσια ογδόντα έξι
MDCCCLXXXVII	χίλια οχτακόσια ογδόντα εφτά
MDCCCLXXXVIII	χίλια οχτακόσια ογδόντα οχτώ
MDCCCLXXXIX	χίλια οχτακόσια ογδόντα εννιά
MDCCCXC	χίλια οχτακόσια ενενήντα
MDCCCXCI	χίλια οχτακόσια ενενήντα ένα
MDCCCXCII	χίλια οχτακόσια ενενήντα δύο
MDCCCXCIII	χίλια οχτακόσια ενενήντα τρία
MDCCCXCIV	χίλια οχτακόσια ενενήντα τέσσερα
MDCCCXCV	χίλια οχτακόσια ενενήντα πέντε
MDCCCXCVI	χίλια οχτακόσια ενενήντα έξι
MDCCCXCVII	χίλια οχτακόσια ενενήντα εφτά
MDCCCXCVIII	χίλια οχτακόσια ενενήντα οχτώ
MDCCCXCIX	χίλια οχτακόσια ενενήντα εννιά
MCM	χίλια εννιακόσια
MCMI	χίλια εννιακόσια ένα
MCMII	χίλια εννιακόσια δύο
MCMIII	χίλια εννιακόσια τρία
MCMIV	χίλια εννιακόσια τέσσερα
MCMV	χίλια εννιακόσια πέντε
MCMVI	χίλια εννιακόσια έξι
MCMVII	χίλια εννιακόσια εφτά
MCMVIII	χίλια εννιακόσια οχτώ
MCMIX	χίλια εννιακόσια εννιά
MCMX	χίλια εννιακόσια δέκα
MCMXI	χίλια εννιακόσια έντεκα
MCMXII	χίλια εννιακόσια δώδεκα
MCMXIII	χίλια εννιακόσια δεκατρία
MCMXIV	χίλια εννιακόσια δεκατέσσερα
MCMXV	χίλια εννιακόσια δεκαπέντε
MCMXVI	χίλια εννιακόσια δεκαέξι
MCMXVII	χίλια εννιακόσια δεκαεφτά
MCMXVIII	χίλια εννιακόσια δεκαοχτώ
MCMXIX	χίλια εννιακόσια δεκαεννιά
MCMXX	χίλια εννιακόσια είκοσι
MCMXXI	χίλια εννιακόσια είκοσι ένα
MCMXXII	χίλια εννιακόσια είκοσι δύο
MCMXXIII	χίλια εννιακόσια είκοσι τρία
MCMXXIV	χίλια εννιακόσια είκοσι τέσσερα
MCMXXV	χίλια εννιακόσια είκοσι πέντε
MCMXXVI	χίλια εννιακόσια είκοσι έξι
MCMXXVII	χίλια εννιακόσια είκοσι εφτά
MCMXXVIII	χίλια εννιακόσια είκοσι οχτώ
MCMXXIX	χίλια εννιακόσια είκοσι εννιά
MCMXXX	χίλια εννιακόσια τριάντα
MCMXXXI	χίλια εννιακόσια τριάντα ένα
MCMXXXII	χίλια εννιακόσια τριάντα δύο
MCMXXXIII	χίλια εννιακόσια τριάντα τρία
MCMXXXIV	χίλια εννιακόσια τριάντα τέσσερα
MCMXXXV	χίλια εννιακόσια τριάντα πέντε
MCMXXXVI	χίλια εννιακόσια τριάντα έξι
MCMXXXVII	χίλια εννιακόσια τριάντα εφτά
MCMXXXVIII	χίλια εννιακόσια τριάντα οχτώ
MCMXXXIX	χίλια εννιακόσια τριάντα εννιά
MCMXL	χίλια εννιακόσια σαράντα
MCMXLI	χίλια εννιακόσια σαράντα ένα
MCMXLII	χίλια εννιακόσια σαράντα δύο
MCMXLIII	χίλια εννιακόσια σαράντα τρία
MCMXLIV	χίλια εννιακόσια σαράντα τέσσερα
MCMXLV	χίλια εννιακόσια σαράντα πέντε
MCMXLVI	χίλια εννιακόσια σαράντα έξι
MCMXLVII	χίλια εννιακόσια σαράντα εφτά
MCMXLVIII	χίλια εννιακόσια σαράντα οχτώ
MCMXLIX	χίλια εννιακόσια σαράντα εννιά
MCML	χίλια εννιακόσια πενήντα
MCMLI	χίλια εννιακόσια πενήντα ένα
MCMLII	χίλια εννιακόσια πενήντα δύο
MCMLIII	χίλια εννιακόσια πενήντα τρία
MCMLIV	χίλια εννιακόσια πενήντα τέσσερα
MCMLV	χίλια εννιακόσια πενήντα πέντε
MCMLVI	χίλια εννιακόσια πενήντα έξι
MCMLVII	χίλια εννιακόσια πενήντα εφτά
MCMLVIII	χίλια εννιακόσια πενήντα οχτώ
MCMLIX	χίλια εννιακόσια πενήντα εννιά
MCMLX	χίλια εννιακόσια εξήντα
MCMLXI	χίλια εννιακόσια εξήντα ένα
MCMLXII	χίλια εννιακόσια εξήντα δύο
MCMLXIII	χίλια εννιακόσια εξήντα τρία
MCMLXIV	χίλια εννιακόσια εξήντα τέσσερα
MCMLXV	χίλια εννιακόσια εξήντα πέντε
MCMLXVI	χίλια εννιακόσια εξήντα έξι
MCMLXVII	χίλια εννιακόσια εξήντα εφτά
MCMLXVIII	χίλια εννιακόσια εξήντα οχτώ
MCMLXIX	χίλια εννιακόσια εξήντα εννιά
MCMLXX	χίλια εννιακόσια εβδομήντα
MCMLXXI	χίλια εννιακόσια εβδομήντα ένα
MCMLXXII	χίλια εννιακόσια εβδομήντα δύο
MCMLXXIII	χίλια εννιακόσια εβδομήντα τρία
MCMLXXIV	χίλια εννιακόσια εβδομήντα τέσσερα
MCMLXXV	χίλια εννιακόσια εβδομήντα πέντε
MCMLXXVI	χίλια εννιακόσια εβδομήντα έξι
MCMLXXVII	χίλια εννιακόσια εβδομήντα εφτά
MCMLXXVIII	χίλια εννιακόσια εβδομήντα οχτώ
MCMLXXIX	χίλια εννιακόσια εβδομήντα εννιά
MCMLXXX	χίλια εννιακόσια ογδόντα
MCMLXXXI	χίλια εννιακόσια ογδόντα ένα
MCMLXXXII	χίλια εννιακόσια ογδόντα δύο
MCMLXXXIII	χίλια εννιακόσια ογδόντα τρία
MCMLXXXIV	χίλια εννιακόσια ογδόντα τέσσερα
MCMLXXXV	χίλια εννιακόσια ογδόντα πέντε
MCMLXXXVI	χίλια εννιακόσια ογδόντα έξι
MCMLXXXVII	χίλια εννιακόσια ογδόντα εφτά
MCMLXXXVIII	χίλια εννιακόσια ογδόντα οχτώ
MCMLXXXIX	χίλια εννιακόσια ογδόντα εννιά
MCMXC	χίλια εννιακόσια ενενήντα
MCMXCI	χίλια εννιακόσια ενενήντα ένα
MCMXCII	χίλια εννιακόσια ενενήντα δύο
MCMXCIII	χίλια εννιακόσια ενενήντα τρία
MCMXCIV	χίλια εννιακόσια ενενήντα τέσσερα
MCMXCV	χίλια εννιακόσια ενενήντα πέντε
MCMXCVI	χίλια εννιακόσια ενενήντα έξι
MCMXCVII	χίλια εννιακόσια ενενήντα εφτά
MCMXCVIII	χίλια εννιακόσια ενενήντα οχτώ
MCMXCIX	χίλια εννιακόσια ενενήντα εννιά
MM	δύο χιλιάδες
MMI	δύο χιλιάδες ένα
MMII	δύο χιλιάδες δύο
MMIII	δύο χιλιάδες τρία
MMIV	δύο χιλιάδες τέσσερα
MMV	δύο χιλιάδες πέντε
MMVI	δύο χιλιάδες έξι
MMVII	δύο χιλιάδες εφτά
MMVIII	δύο χιλιάδες οχτώ
MMIX	δύο χιλιάδες εννιά
MMX	δύο χιλιάδες δέκα
MMXI	δύο χιλιάδες έντεκα
MMXII	δύο χιλιάδες δώδεκα
MMXIII	δύο χιλιάδες δεκατρία
MMXIV	δύο χιλιάδες δεκατέσσερα
MMXV	δύο χιλιάδες δεκαπέντε
MMXVI	δύο χιλιάδες δεκαέξι
MMXVII	δύο χιλιάδες δεκαεφτά
MMXVIII	δύο χιλιάδες δεκαοχτώ
MMXIX	δύο χιλιάδες δεκαεννιά
MMXX	δύο χιλιάδες είκοσι
MMXXI	δύο χιλιάδες είκοσι ένα
MMXXII	δύο χιλιάδες είκοσι δύο
MMXXIII	δύο χιλιάδες είκοσι τρία
MMXXIV	δύο χιλιάδες είκοσι τέσσερα
MMXXV	δύο χιλιάδες είκοσι πέντε
MMXXVI	δύο χιλιάδες είκοσι έξι
MMXXVII	δύο χιλιάδες είκοσι εφτά
MMXXVIII	δύο χιλιάδες είκοσι οχτώ
MMXXIX	δύο χιλιάδες είκοσι εννιά
MMXXX	δύο χιλιάδες τριάντα
MMXXXI	δύο χιλιάδες τριάντα ένα
MMXXXII	δύο χιλιάδες τριάντα δύο
MMXXXIII	δύο χιλιάδες τριάντα τρία
MMXXXIV	δύο χιλιάδες τριάντα τέσσερα
MMXXXV	δύο χιλιάδες τριάντα πέντε
MMXXXVI	δύο χιλιάδες τριάντα έξι
MMXXXVII	δύο χιλιάδες τριάντα εφτά
MMXXXVIII	δύο χιλιάδες τριάντα οχτώ
MMXXXIX	δύο χιλιάδες τριάντα εννιά
MMXL	δύο χιλιάδες σαράντα
MMXLI	δύο χιλιάδες σαράντα ένα
MMXLII	δύο χιλιάδες σαράντα δύο
MMXLIII	δύο χιλιάδες σαράντα τρία
MMXLIV	δύο χιλιάδες σαράντα τέσσερα
MMXLV	δύο χιλιάδες σαράντα πέντε
MMXLVI	δύο χιλιάδες σαράντα έξι
MMXLVII	δύο χιλιάδες σαράντα εφτά
MMXLVIII	δύο χιλιάδες σαράντα οχτώ
MMXLIX	δύο χιλιάδες σαράντα εννιά
MML	δύο χιλιάδες πενήντα
MMLI	δύο χιλιάδες πενήντα ένα
MMLII	δύο χιλιάδες πενήντα δύο
MMLIII	δύο χιλιάδες πενήντα τρία
MMLIV	δύο χιλιάδες πενήντα τέσσερα
MMLV	δύο χιλιάδες πενήντα πέντε
MMLVI	δύο χιλιάδες πενήντα έξι
MMLVII	δύο χιλιάδες πενήντα εφτά
MMLVIII	δύο χιλιάδες πενήντα οχτώ
MMLIX	δύο χιλιάδες πενήντα εννιά
MMLX	δύο χιλιάδες εξήντα
MMLXI	δύο χιλιάδες εξήντα ένα
MMLXII	δύο χιλιάδες εξήντα δύο
MMLXIII	δύο χιλιάδες εξήντα τρία
MMLXIV	δύο χιλιάδες εξήντα τέσσερα
MMLXV	δύο χιλιάδες εξήντα πέντε
MMLXVI	δύο χιλιάδες εξήντα έξι
MMLXVII	δύο χιλιάδες εξήντα εφτά
MMLXVIII	δύο χιλιάδες εξήντα οχτώ
MMLXIX	δύο χιλιάδες εξήντα εννιά
MMLXX	δύο χιλιάδες εβδομήντα
MMLXXI	δύο χιλιάδες εβδομήντα ένα
MMLXXII	δύο χιλιάδες εβδομήντα δύο
MMLXXIII	δύο χιλιάδες εβδομήντα τρία
MMLXXIV	δύο χιλιάδες εβδομήντα τέσσερα
MMLXXV	δύο χιλιάδες εβδομήντα πέντε
MMLXXVI	δύο χιλιάδες εβδομήντα έξι
MMLXXVII	δύο χιλιάδες εβδομήντα εφτά
MMLXXVIII	δύο χιλιάδες εβδομήντα οχτώ
MMLXXIX	δύο χιλιάδες εβδομήντα εννιά
MMLXXX	δύο χιλιάδες ογδόντα
MMLXXXI	δύο χιλιάδες ογδόντα ένα
MMLXXXII	δύο χιλιάδες ογδόντα δύο
MMLXXXIII	δύο χιλιάδες ογδόντα τρία
MMLXXXIV	δύο χιλιάδες ογδόντα τέσσερα
MMLXXXV	δύο χιλιάδες ογδόντα πέντε
MMLXXXVI	δύο χιλιάδες ογδόντα έξι
MMLXXXVII	δύο χιλιάδες ογδόντα εφτά
MMLXXXVIII	δύο χιλιάδες ογδόντα οχτώ
MMLXXXIX	δύο χιλιάδες ογδόντα εννιά
MMXC	δύο χιλιάδες ενενήντα
MMXCI	δύο χιλιάδες ενενήντα ένα
MMXCII	δύο χιλιάδες ενενήντα δύο
MMXCIII	δύο χιλιάδες ενενήντα τρία
MMXCIV	δύο χιλιάδες ενενήντα τέσσερα
MMXCV	δύο χιλιάδες ενενήντα πέντε
MMXCVI	δύο χιλιάδες ενενήντα έξι
MMXCVII	δύο χιλιάδες ενενήντα εφτά
MMXCVIII	δύο χιλιάδες ενενήντα οχτώ
MMXCIX	δύο χιλιάδες ενενήντα εννιά
MMC	δύο χιλιάδες εκατό
MMCI	δύο χιλιάδες εκατόν ένα
MMCII	δύο χιλιάδες εκατόν δύο
MMCIII	δύο χιλιάδες εκατόν τρία
MMCIV	δύο χιλιάδες εκατόν τέσσερα
MMCV	δύο χιλιάδες εκατόν πέντε
MMCVI	δύο χιλιάδες εκατόν έξι
MMCVII	δύο χιλιάδες εκατόν εφτά
MMCVIII	δύο χιλιάδες εκατόν οχτώ
MMCIX	δύο χιλιάδες εκατόν εννιά
MMCX	δύο χιλιάδες εκατόν δέκα
MMCXI	δύο χιλιάδες εκατόν έντεκα
MMCXII	δύο χιλιάδες εκατόν δώδεκα
MMCXIII	δύο χιλιάδες εκατόν δεκατρία
MMCXIV	δύο χιλιάδες εκατόν δεκατέσσερα
MMCXV	δύο χιλιάδες εκατόν δεκαπέντε
MMCXVI	δύο χιλιάδες εκατόν δεκαέξι
MMCXVII	δύο χιλιάδες εκατόν δεκαεφτά
MMCXVIII	δύο χιλιάδες εκατόν δεκαοχτώ
MMCXIX	δύο χιλιάδες εκατόν δεκαεννιά
MMCXX	δύο χιλιάδες εκατόν είκοσι
MMCXXI	δύο χιλιάδες εκατόν είκοσι ένα
MMCXXII	δύο χιλιάδες εκατόν είκοσι δύο
MMCXXIII	δύο χιλιάδες εκατόν είκοσι τρία
MMCXXIV	δύο χιλιάδες εκατόν είκοσι τέσσερα
MMCXXV	δύο χιλιάδες εκατόν είκοσι πέντε
MMCXXVI	δύο χιλιάδες εκατόν είκοσι έξι
MMCXXVII	δύο χιλιάδες εκατόν είκοσι εφτά
MMCXXVIII	δύο χιλιάδες εκατόν είκοσι οχτώ
MMCXXIX	δύο χιλιάδες εκατόν είκοσι εννιά
MMCXXX	δύο χιλιάδες εκατόν τριάντα
MMCXXXI	δύο χιλιάδες εκατόν τριάντα ένα
MMCXXXII	δύο χιλιάδες εκατόν τριάντα δύο
MMCXXXIII	δύο χιλιάδες εκατόν τριάντα τρία
MMCXXXIV	δύο χιλιάδες εκατόν τριάντα τέσσερα
MMCXXXV	δύο χιλιάδες εκατόν τριάντα πέντε
MMCXXXVI	δύο χιλιάδες εκατόν τριάντα έξι
MMCXXXVII	δύο χιλιάδες εκατόν τριάντα εφτά
MMCXXXVIII	δύο χιλιάδες εκατόν τριάντα οχτώ
MMCXXXIX	δύο χιλιάδες εκατόν τριάντα εννιά
MMCXL	δύο χιλιάδες εκατόν σαράντα
MMCXLI	δύο χιλιάδες εκατόν σαράντα ένα
MMCXLII	δύο χιλιάδες εκατόν σαράντα δύο
MMCXLIII	δύο χιλιάδες εκατόν σαράντα τρία
MMCXLIV	δύο χιλιάδες εκατόν σαράντα τέσσερα
MMCXLV	δύο χιλιάδες εκατόν σαράντα πέντε
MMCXLVI	δύο χιλιάδες εκατόν σαράντα έξι
MMCXLVII	δύο χιλιάδες εκατόν σαράντα εφτά
MMCXLVIII	δύο χιλιάδες εκατόν σαράντα οχτώ
MMCXLIX	δύο χιλιάδες εκατόν σαράντα εννιά
MMCL	δύο χιλιάδες εκατόν πενήντα
MMCLI	δύο χιλιάδες εκατόν πενήντα ένα
MMCLII	δύο χιλιάδες εκατόν πενήντα δύο
MMCLIII	δύο χιλιάδες εκατόν πενήντα τρία
MMCLIV	δύο χιλιάδες εκατόν πενήντα τέσσερα
MMCLV	δύο χιλιάδες εκατόν πενήντα πέντε
MMCLVI	δύο χιλιάδες εκατόν πενήντα έξι
MMCLVII	δύο χιλιάδες εκατόν πενήντα εφτά
MMCLVIII	δύο χιλιάδες εκατόν πενήντα οχτώ
MMCLIX	δύο χιλιάδες εκατόν πενήντα εννιά
MMCLX	δύο χιλιάδες εκατόν εξήντα
MMCLXI	δύο χιλιάδες εκατόν εξήντα ένα
MMCLXII	δύο χιλιάδες εκατόν εξήντα δύο
MMCLXIII	δύο χιλιάδες εκατόν εξήντα τρία
MMCLXIV	δύο χιλιάδες εκατόν εξήντα τέσσερα
MMCLXV	δύο χιλιάδες εκατόν εξήντα πέντε
MMCLXVI	δύο χιλιάδες εκατόν εξήντα έξι
MMCLXVII	δύο χιλιάδες εκατόν εξήντα εφτά
MMCLXVIII	δύο χιλιάδες εκατόν εξήντα οχτώ
MMCLXIX	δύο χιλιάδες εκατόν εξήντα εννιά
MMCLXX	δύο χιλιάδες εκατόν εβδομήντα
MMCLXXI	δύο χιλιάδες εκατόν εβδομήντα ένα
MMCLXXII	δύο χιλιάδες εκατόν εβδομήντα δύο
MMCLXXIII	δύο χιλιάδες εκατόν εβδομήντα τρία
MMCLXXIV	δύο χιλιάδες εκατόν εβδομήντα τέσσερα
MMCLXXV	δύο χιλιάδες εκατόν εβδομήντα πέντε
MMCLXXVI	δύο χιλιάδες εκατόν εβδομήντα έξι
MMCLXXVII	δύο χιλιάδες εκατόν εβδομήντα εφτά
MMCLXXVIII	δύο χιλιάδες εκατόν εβδομήντα οχτώ
MMCLXXIX	δύο χιλιάδες εκατόν εβδομήντα εννιά
MMCLXXX	δύο χιλιάδες εκατόν ογδόντα
MMCLXXXI	δύο χιλιάδες εκατόν ογδόντα ένα
MMCLXXXII	δύο χιλιάδες εκατόν ογδόντα δύο
MMCLXXXIII	δύο χιλιάδες εκατόν ογδόντα τρία
MMCLXXXIV	δύο χιλιάδες εκατόν ογδόντα τέσσερα
MMCLXXXV	δύο χιλιάδες εκατόν ογδόντα πέντε
MMCLXXXVI	δύο χιλιάδες εκατόν ογδόντα έξι
MMCLXXXVII	δύο χιλιάδες εκατόν ογδόντα εφτά
MMCLXXXVIII	δύο χιλιάδες εκατόν ογδόντα οχτώ
MMCLXXXIX	δύο χιλιάδες εκατόν ογδόντα εννιά
MMCXC	δύο χιλιάδες εκατόν ενενήντα
MMCXCI	δύο χιλιάδες εκατόν ενενήντα ένα
MMCXCII	δύο χιλιάδες εκατόν ενενήντα δύο
MMCXCIII	δύο χιλιάδες εκατόν ενενήντα τρία
MMCXCIV	δύο χιλιάδες εκατόν ενενήντα τέσσερα
MMCXCV	δύο χιλιάδες εκατόν ενενήντα πέντε
MMCXCVI	δύο χιλιάδες εκατόν ενενήντα έξι
MMCXCVII	δύο χιλιάδες εκατόν ενενήντα εφτά
MMCXCVIII	δύο χιλιάδες εκατόν ενενήντα οχτώ
MMCXCIX	δύο χιλιάδες εκατόν ενενήντα εννιά
MMCC	δύο χιλιάδες διακόσια
MMCCI	δύο χιλιάδες διακόσια ένα
MMCCII	δύο χιλιάδες διακόσια δύο
MMCCIII	δύο χιλιάδες διακόσια τρία
MMCCIV	δύο χιλιάδες διακόσια τέσσερα
MMCCV	δύο χιλιάδες διακόσια πέντε
MMCCVI	δύο χιλιάδες διακόσια έξι
MMCCVII	δύο χιλιάδες διακόσια εφτά
MMCCVIII	δύο χιλιάδες διακόσια οχτώ
MMCCIX	δύο χιλιάδες διακόσια εννιά
MMCCX	δύο χιλιάδες διακόσια δέκα
MMCCXI	δύο χιλιάδες διακόσια έντεκα
MMCCXII	δύο χιλιάδες διακόσια δώδεκα
MMCCXIII	δύο χιλιάδες διακόσια δεκατρία
MMCCXIV	δύο χιλιάδες διακόσια δεκατέσσερα
MMCCXV	δύο χιλιάδες διακόσια δεκαπέντε
MMCCXVI	δύο χιλιάδες διακόσια δεκαέξι
MMCCXVII	δύο χιλιάδες διακόσια δεκαεφτά
MMCCXVIII	δύο χιλιάδες διακόσια δεκαοχτώ
MMCCXIX	δύο χιλιάδες διακόσια δεκαεννιά
MMCCXX	δύο χιλιάδες διακόσια είκοσι
MMCCXXI	δύο χιλιάδες διακόσια είκοσι ένα
MMCCXXII	δύο χιλιάδες διακόσια είκοσι δύο
MMCCXXIII	δύο χιλιάδες διακόσια είκοσι τρία
MMCCXXIV	δύο χιλιάδες διακόσια είκοσι τέσσερα
MMCCXXV	δύο χιλιάδες διακόσια είκοσι πέντε
MMCCXXVI	δύο χιλιάδες διακόσια είκοσι έξι
MMCCXXVII	δύο χιλιάδες διακόσια είκοσι εφτά
MMCCXXVIII	δύο χιλιάδες διακόσια είκοσι οχτώ
MMCCXXIX	δύο χιλιάδες διακόσια είκοσι εννιά
MMCCXXX	δύο χιλιάδες διακόσια τριάντα
MMCCXXXI	δύο χιλιάδες διακόσια τριάντα ένα
MMCCXXXII	δύο χιλιάδες διακόσια τριάντα δύο
MMCCXXXIII	δύο χιλιάδες διακόσια τριάντα τρία
MMCCXXXIV	δύο χιλιάδες διακόσια τριάντα τέσσερα
MMCCXXXV	δύο χιλιάδες διακόσια τριάντα πέντε
MMCCXXXVI	δύο χιλιάδες διακόσια τριάντα έξι
MMCCXXXVII	δύο χιλιάδες διακόσια τριάντα εφτά
MMCCXXXVIII	δύο χιλιάδες διακόσια τριάντα οχτώ
MMCCXXXIX	δύο χιλιάδες διακόσια τριάντα εννιά
MMCCXL	δύο χιλιάδες διακόσια σαράντα
MMCCXLI	δύο χιλιάδες διακόσια σαράντα ένα
MMCCXLII	δύο χιλιάδες διακόσια σαράντα δύο
MMCCXLIII	δύο χιλιάδες διακόσια σαράντα τρία
MMCCXLIV	δύο χιλιάδες διακόσια σαράντα τέσσερα
MMCCXLV	δύο χιλιάδες διακόσια σαράντα πέντε
MMCCXLVI	δύο χιλιάδες διακόσια σαράντα έξι
MMCCXLVII	δύο χιλιάδες διακόσια σαράντα εφτά
MMCCXLVIII	δύο χιλιάδες διακόσια σαράντα οχτώ
MMCCXLIX	δύο χιλιάδες διακόσια σαράντα εννιά
MMCCL	δύο χιλιάδες διακόσια πενήντα
MMCCLI	δύο χιλιάδες διακόσια πενήντα ένα
MMCCLII	δύο χιλιάδες διακόσια πενήντα δύο
MMCCLIII	δύο χιλιάδες διακόσια πενήντα τρία
MMCCLIV	δύο χιλιάδες διακόσια πενήντα τέσσερα
MMCCLV	δύο χιλιάδες διακόσια πενήντα πέντε
MMCCLVI	δύο χιλιάδες διακόσια πενήντα έξι
MMCCLVII	δύο χιλιάδες διακόσια πενήντα εφτά
MMCCLVIII	δύο χιλιάδες διακόσια πενήντα οχτώ
MMCCLIX	δύο χιλιάδες διακόσια πενήντα εννιά
MMCCLX	δύο χιλιάδες διακόσια εξήντα
MMCCLXI	δύο χιλιάδες διακόσια εξήντα ένα
MMCCLXII	δύο χιλιάδες διακόσια εξήντα δύο
MMCCLXIII	δύο χιλιάδες διακόσια εξήντα τρία
MMCCLXIV	δύο χιλιάδες διακόσια εξήντα τέσσερα
