I	ένα
DCXII	εξακόσια δώδεκα
DCXIII	εξακόσια δεκατρία
DCXIV	εξακόσια δεκατέσσερα
DCXV	εξακόσια δεκαπέντε
DCXVI	εξακόσια δεκαέξι
DCXVII	εξακόσια δεκαεφτά
DCXVIII	εξακόσια δεκαοχτώ
DCXIX	εξακόσια δεκαεννιά
DCXX	εξακόσια είκοσι
DCXXI	εξακόσια είκοσι ένα
DCXXII	εξακόσια είκοσι δύο
DCXXIII	εξακόσια είκοσι τρία
DCXXIV	εξακόσια είκοσι τέσσερα
DCXXV	εξακόσια είκοσι πέντε
DCXXVI	εξακόσια είκοσι έξι
DCXXVII	εξακόσια είκοσι εφτά
DCXXVIII	εξακόσια είκοσι οχτώ
DCXXIX	εξακόσια είκοσι εννιά
DCXXX	εξακόσια τριάντα
DCXXXI	εξακόσια τριάντα ένα
DCXXXII	εξακόσια τριάντα δύο
DCXXXIII	εξακόσια τριάντα τρία
DCXXXIV	εξακόσια τριάντα τέσσερα
DCXXXV	εξακόσια τριάντα πέντε
DCXXXVI	εξακόσια τριάντα έξι
DCXXXVII	εξακόσια τριάντα εφτά
DCXXXVIII	εξακόσια τριάντα οχτώ
DCXXXIX	εξακόσια τριάντα εννιά
DCXL	εξακόσια σαράντα
DCXLI	εξακόσια σαράντα ένα
DCXLII	εξακόσια σαράντα δύο
DCXLIII	εξακόσια σαράντα τρία
DCXLIV	εξακόσια σαράντα τέσσερα
DCXLV	εξακόσια σαράντα πέντε
DCXLVI	εξακόσια σαράντα έξι
DCXLVII	εξακόσια σαράντα εφτά
DCXLVIII	εξακόσια σαράντα οχτώ
DCXLIX	εξακόσια σαράντα εννιά
DCL	εξακόσια πενήντα
DCLI	εξακόσια πενήντα ένα
DCLII	εξακόσια πενήντα δύο
DCLIII	εξακόσια πενήντα τρία
DCLIV	εξακόσια πενήντα τέσσερα
DCLV	εξακόσια πενήντα πέντε
DCLVI	εξακόσια πενήντα έξι
DCLVII	εξακόσια πενήντα εφτά
DCLVIII	εξακόσια πενήντα οχτώ
DCLIX	εξακόσια πενήντα εννιά
DCLX	εξακόσια εξήντα
DCLXI	εξακόσια εξήντα ένα
DCLXII	εξακόσια εξήντα δύο
DCLXIII	εξακόσια εξήντα τρία
DCLXIV	εξακόσια εξήντα τέσσερα
DCLXV	εξακόσια εξήντα πέντε
DCLXVI	εξακόσια εξήντα έξι
DCLXVII	εξακόσια εξήντα εφτά
DCLXVIII	εξακόσια εξήντα οχτώ
DCLXIX	εξακόσια εξήντα εννιά
DCLXX	εξακόσια εβδομήντα
DCLXXI	εξακόσια εβδομήντα ένα
DCLXXII	εξακόσια εβδομήντα δύο
DCLXXIII	εξακόσια εβδομήντα τρία
DCLXXIV	εξακόσια εβδομήντα τέσσερα
DCLXXV	εξακόσια εβδομήντα πέντε
DCLXXVI	εξακόσια εβδομήντα έξι
DCLXXVII	εξακόσια εβδομήντα εφτά
DCLXXVIII	εξακόσια εβδομήντα οχτώ
DCLXXIX	εξακόσια εβδομήντα εννιά
DCLXXX	εξακόσια ογδόντα
DCLXXXI	εξακόσια ογδόντα ένα
